"team","games","sacks","fumbleRecoveries","interceptions","defenseTouchdowns","safeties","blockedKicks","kickYards","kickTouchdowns","puntYards","puntTouchdowns","paPerGame","pa0Games","pa16Games","pa713Games","pa1420Games","pa2127Games","pa2834Games","pa3545Games","pa46plusGames","passYdsPerGame","runYdsPerGame","yaNegGames","ya099Games","ya100199Games","ya200299Games","ya300349Games","ya350399Games","ya400449Games","ya450499Games","ya500549Games","ya550plusGames","fantasyPts","fantasyPpg"
"ARZ","1","6","0","1","1","0","1","18","0","66","0","27","0","0","0","0","1","0","0","0","152","182","0","0","0","0","1","0","0","0","0","0","21","21"
"ATL","1","1","0","1","0","0","0","80","0","28","0","32","0","0","0","0","0","1","0","0","345","92","0","0","0","0","0","0","1","0","0","0","2","2"
"BLT","1","0","0","3","0","0","0","37","0","0","0","24","0","0","0","0","1","0","0","0","376","50","0","0","0","0","0","0","1","0","0","0","6","6"
"BUF","1","4","2","2","0","0","0","44","0","9","0","17","0","0","0","1","0","0","0","0","150","99","0","0","0","1","0","0","0","0","0","0","13","13"
"CAR","1","2","0","1","0","0","0","0","0","0","0","14","0","0","0","1","0","0","0","0","118","184","0","0","0","0","1","0","0","0","0","0","5","5"
"CHI","1","4","0","0","0","0","0","0","0","-2","0","10","0","0","1","0","0","0","0","0","132","63","0","0","1","0","0","0","0","0","0","0","8","8"
"CIN","1","1","0","1","1","0","0","87","0","1","0","16","0","0","0","1","0","0","0","0","287","65","0","0","0","0","0","1","0","0","0","0","10","10"
"CLV","1","2","1","0","0","0","0","108","0","46","0","26","0","0","0","0","1","0","0","0","179","296","0","0","0","0","0","0","0","1","0","0","4","4"
"DAL","1","1","1","1","0","0","0","70","0","0","0","35","0","0","0","0","0","0","1","0","301","143","0","0","0","0","0","0","1","0","0","0","1","1"
"DEN","1","1","2","2","0","0","0","60","0","3","0","23","0","0","0","0","1","0","0","0","176","116","0","0","0","1","0","0","0","0","0","0","9","9"
"DET","1","3","0","1","0","0","0","0","0","25","0","0","1","0","0","0","0","0","0","0","158","46","0","0","0","1","0","0","0","0","0","0","15","15"
"GB","1","1","0","0","0","0","0","111","0","0","0","31","0","0","0","0","0","1","0","0","274","130","0","0","0","0","0","0","1","0","0","0","0","0"
"HST","1","3","1","1","0","0","0","0","0","56","0","3","0","1","0","0","0","0","0","0","107","30","0","0","1","0","0","0","0","0","0","0","14","14"
"IND","1","0","1","2","0","0","0","55","0","0","0","17","0","0","0","1","0","0","0","0","165","93","0","0","0","1","0","0","0","0","0","0","7","7"
"JAX","1","6","1","0","0","0","0","40","0","17","0","20","0","0","0","1","0","0","0","0","234","134","0","0","0","0","0","1","0","0","0","0","9","9"
"KC","1","3","2","2","1","0","0","26","0","3","0","3","0","1","0","0","0","0","0","0","185","127","0","0","0","0","1","0","0","0","0","0","24","24"
"MIA","1","1","0","1","1","0","0","118","0","9","0","42","0","0","0","0","0","0","1","0","224","166","0","0","0","0","0","1","0","0","0","0","5","5"
"MIN","1","0","0","0","0","0","0","0","0","4","0","24","0","0","0","0","1","0","0","0","163","169","0","0","0","0","1","0","0","0","0","0","0","0"
"NE","1","4","3","0","1","0","0","0","0","28","0","3","0","1","0","0","0","0","0","0","167","107","0","0","0","1","0","0","0","0","0","0","23","23"
"NO","1","1","0","0","0","0","0","0","0","18","0","33","0","0","0","0","0","1","0","0","268","111","0","0","0","0","0","1","0","0","0","0","0","0"
"NYG","1","4","1","0","0","0","0","142","0","19","0","36","0","0","0","0","0","0","1","0","387","51","0","0","0","0","0","0","1","0","0","0","2","2"
"NYJ","1","1","0","0","0","0","0","70","0","0","0","38","0","0","0","0","0","0","1","0","250","131","0","0","0","0","0","1","0","0","0","0","-3","-3"
"OAK","1","0","0","1","0","0","0","91","0","0","0","35","0","0","0","0","0","0","1","0","310","99","0","0","0","0","0","0","1","0","0","0","-2","-2"
"PHI","1","3","0","1","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","0","98","21","0","0","1","0","0","0","0","0","0","0","15","15"
"PIT","1","4","0","0","0","0","0","68","0","20","0","13","0","0","1","0","0","0","0","0","95","125","0","0","0","1","0","0","0","0","0","0","8","8"
"LA","1","3","1","3","1","0","0","0","0","11","0","32","0","0","0","0","0","1","0","0","282","127","0","0","0","0","0","0","1","0","0","0","16","16"
"LAC","1","1","3","1","1","0","0","0","0","0","0","9","0","0","1","0","0","0","0","0","292","82","0","0","0","0","0","1","0","0","0","0","19","19"
"SF","1","0","0","0","0","0","0","25","0","0","0","48","0","0","0","0","0","0","0","1","222","155","0","0","0","0","0","1","0","0","0","0","-4","-4"
"SEA","1","7","2","0","0","0","0","63","0","0","0","24","0","0","0","0","1","0","0","0","149","85","0","0","0","1","0","0","0","0","0","0","11","11"
"TB","1","1","0","1","0","0","0","91","0","9","0","34","0","0","0","0","0","1","0","0","383","109","0","0","0","0","0","0","0","1","0","0","2","2"
"TEN","1","1","1","1","1","0","0","128","0","10","0","33","0","0","0","0","0","1","0","0","285","158","0","0","0","0","0","0","1","0","0","0","10","10"
"WAS","1","3","0","1","0","0","0","55","0","20","0","24","0","0","0","0","1","0","0","0","243","129","0","0","0","0","0","1","0","0","0","0","5","5"
