"team","games","sacks","fumbleRecoveries","interceptions","defenseTouchdowns","safeties","blockedKicks","kickYards","kickTouchdowns","puntYards","puntTouchdowns","paPerGame","pa0Games","pa16Games","pa713Games","pa1420Games","pa2127Games","pa2834Games","pa3545Games","pa46plusGames","passYdsPerGame","runYdsPerGame","yaNegGames","ya099Games","ya100199Games","ya200299Games","ya300349Games","ya350399Games","ya400449Games","ya450499Games","ya500549Games","ya550plusGames","fantasyPts","fantasyPpg"
"ARZ","1","2","0","0","0","0","0","0","0","31","0","40","0","0","0","0","0","0","1","0","231","215","0","0","0","0","0","0","1","0","0","0","-2","-2"
"ATL","1","7","1","2","1","0","0","7","0","10","0","14","0","0","0","1","0","0","0","0","243","60","0","0","0","0","1","0","0","0","0","0","20","20"
"BLT","1","1","0","1","0","0","0","92","0","0","0","12","0","0","1","0","0","0","0","0","157","85","0","0","0","1","0","0","0","0","0","0","7","7"
"BUF","1","0","0","0","0","0","0","29","0","11","0","13","0","0","1","0","0","0","0","0","208","105","0","0","0","0","1","0","0","0","0","0","4","4"
"CAR","1","2","0","1","0","0","0","26","0","1","0","12","0","0","1","0","0","0","0","0","203","155","0","0","0","0","0","1","0","0","0","0","8","8"
"CHI","1","5","0","1","0","0","0","75","0","53","0","17","0","0","0","1","0","0","0","0","274","88","0","0","0","0","0","1","0","0","0","0","8","8"
"CIN","1","5","2","0","0","0","0","168","0","4","0","16","0","0","0","1","0","0","0","0","263","68","0","0","0","0","1","0","0","0","0","0","10","10"
"CLV","1","2","0","2","0","0","0","48","0","9","0","16","0","0","0","1","0","0","0","0","257","32","0","0","0","1","0","0","0","0","0","0","7","7"
"DAL","1","0","1","0","0","0","0","0","0","2","0","23","0","0","0","0","1","0","0","0","192","178","0","0","0","0","0","1","0","0","0","0","2","2"
"DEN","1","2","1","1","0","0","0","35","0","0","0","17","0","0","0","1","0","0","0","0","188","134","0","0","0","0","1","0","0","0","0","0","7","7"
"DET","1","1","0","0","0","0","0","20","0","12","0","14","0","0","0","1","0","0","0","0","204","117","0","0","0","0","1","0","0","0","0","0","2","2"
"GB","1","1","1","0","0","0","0","0","0","0","0","24","0","0","0","0","1","0","0","0","235","100","0","0","0","0","1","0","0","0","0","0","3","3"
"HST","1","3","1","0","0","0","0","28","0","17","0","22","0","0","0","0","1","0","0","0","253","90","0","0","0","0","1","0","0","0","0","0","5","5"
"IND","1","3","0","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","206","112","0","0","0","0","1","0","0","0","0","0","16","16"
"JAX","1","3","0","0","0","0","0","25","0","84","1","16","0","0","0","1","0","0","0","0","151","110","0","0","0","1","0","0","0","0","0","0","10","10"
"KC","1","5","0","2","0","0","0","104","0","0","0","29","0","0","0","0","0","1","0","0","313","119","0","0","0","0","0","0","1","0","0","0","8","8"
"MIA","1","2","0","1","1","0","0","45","0","8","0","41","0","0","0","0","0","0","1","0","215","220","0","0","0","0","0","0","1","0","0","0","6","6"
"MIN","1","9","0","0","0","0","0","24","0","116","0","17","0","0","0","1","0","0","0","0","108","156","0","0","0","1","0","0","0","0","0","0","10","10"
"NE","1","2","0","2","0","0","0","23","0","0","0","17","0","0","0","1","0","0","0","0","235","158","0","0","0","0","0","1","0","0","0","0","7","7"
"NO","1","4","1","1","0","0","0","50","0","13","0","9","0","0","1","0","0","0","0","0","181","98","0","0","0","1","0","0","0","0","0","0","12","12"
"NYG","1","1","0","0","0","0","0","91","0","2","0","17","0","0","0","1","0","0","0","0","94","215","0","0","0","0","1","0","0","0","0","0","2","2"
"NYJ","1","6","0","0","0","0","0","71","0","22","0","29","0","0","0","0","0","1","0","0","294","47","0","0","0","0","1","0","0","0","0","0","5","5"
"OAK","1","1","0","1","0","0","0","71","0","22","0","30","0","0","0","0","0","1","0","0","130","171","0","0","0","0","1","0","0","0","0","0","2","2"
"PHI","1","1","2","1","0","0","0","16","0","13","0","23","0","0","0","0","1","0","0","0","339","82","0","0","0","0","0","0","1","0","0","0","7","7"
"PIT","1","1","0","1","0","0","0","27","0","0","0","10","0","0","1","0","0","0","0","0","279","96","0","0","0","0","0","1","0","0","0","0","7","7"
"LA","1","0","0","1","0","0","0","31","0","-2","0","30","0","0","0","0","0","1","0","0","270","111","0","0","0","0","0","1","0","0","0","0","1","1"
"LAC","1","2","0","0","0","0","0","47","0","0","0","28","0","0","0","0","0","1","0","0","243","60","0","0","0","0","1","0","0","0","0","0","1","1"
"SF","1","3","0","0","0","0","0","113","1","30","0","23","0","0","0","0","1","0","0","0","237","168","0","0","0","0","0","0","1","0","0","0","9","9"
"SEA","1","3","1","0","0","0","0","21","0","8","0","26","0","0","0","0","1","0","0","0","275","94","0","0","0","0","0","1","0","0","0","0","5","5"
"TB","1","2","2","0","0","0","0","90","0","12","0","20","0","0","0","1","0","0","0","0","131","242","0","0","0","0","0","1","0","0","0","0","7","7"
"TEN","1","3","1","1","0","0","0","27","0","8","0","0","1","0","0","0","0","0","0","0","229","47","0","0","0","1","0","0","0","0","0","0","17","17"
"WAS","1","6","1","1","0","0","0","31","0","11","0","13","0","0","1","0","0","0","0","0","57","172","0","0","0","1","0","0","0","0","0","0","14","14"
