"team","games","sacks","fumbleRecoveries","interceptions","defenseTouchdowns","safeties","blockedKicks","kickYards","kickTouchdowns","puntYards","puntTouchdowns","paPerGame","pa0Games","pa16Games","pa713Games","pa1420Games","pa2127Games","pa2834Games","pa3545Games","pa46plusGames","passYdsPerGame","runYdsPerGame","yaNegGames","ya099Games","ya100199Games","ya200299Games","ya300349Games","ya350399Games","ya400449Games","ya450499Games","ya500549Games","ya550plusGames","fantasyPts","fantasyPpg"
"ARZ","1","4","1","0","0","0","0","139","0","26","0","45","0","0","0","0","0","0","1","0","259","178","0","0","0","0","0","0","1","0","0","0","2","2"
"ATL","1","2","0","1","0","0","0","105","0","0","0","31","0","0","0","0","0","1","0","0","171","150","0","0","0","0","1","0","0","0","0","0","3","3"
"BLT","1","3","1","0","1","0","0","59","0","79","1","17","0","0","0","1","0","0","0","0","194","67","0","0","0","1","0","0","0","0","0","0","18","18"
"BUF","1","3","0","2","0","0","0","66","0","13","0","21","0","0","0","0","1","0","0","0","127","226","0","0","0","0","0","1","0","0","0","0","7","7"
"CAR","1","2","0","0","0","0","0","75","0","19","0","30","0","0","0","0","0","1","0","0","339","75","0","0","0","0","0","0","1","0","0","0","1","1"
"CHI","1","2","0","2","1","0","0","17","0","46","0","16","0","0","0","1","0","0","0","0","236","111","0","0","0","0","1","0","0","0","0","0","13","13"
"CIN","1","0","0","0","0","0","0","49","0","57","0","35","0","0","0","0","0","0","1","0","258","84","0","0","0","0","1","0","0","0","0","0","-4","-4"
"CLV","1","1","1","1","0","0","1","33","0","6","0","20","0","0","0","1","0","0","0","0","255","129","0","0","0","0","0","1","0","0","0","0","7","7"
"DAL","1","3","0","3","0","0","0","19","0","0","0","23","0","0","0","0","1","0","0","0","268","80","0","0","0","0","1","0","0","0","0","0","9","9"
"DEN","1","2","1","2","0","0","1","0","0","6","0","17","0","0","0","1","0","0","0","0","464","75","0","0","0","0","0","0","0","0","1","0","10","10"
"DET","1","4","1","0","0","0","0","0","0","25","0","23","0","0","0","0","1","0","0","0","238","38","0","0","0","1","0","0","0","0","0","0","6","6"
"GB","1","2","0","0","0","0","0","23","0","36","0","24","0","0","0","0","1","0","0","0","342","91","0","0","0","0","0","0","1","0","0","0","2","2"
"HST","1","6","1","0","0","0","0","30","0","37","0","17","0","0","0","1","0","0","0","0","303","105","0","0","0","0","0","0","1","0","0","0","9","9"
"IND","1","1","1","0","0","0","0","0","0","14","0","24","0","0","0","0","1","0","0","0","204","113","0","0","0","0","1","0","0","0","0","0","3","3"
"JAX","1","0","0","0","0","0","0","62","0","33","0","24","0","0","0","0","1","0","0","0","160","167","0","0","0","0","1","0","0","0","0","0","0","0"
"MIA","1","1","1","2","0","0","0","12","0","0","0","27","0","0","0","0","1","0","0","0","347","118","0","0","0","0","0","0","0","1","0","0","7","7"
"MIN","1","4","1","0","0","0","0","0","0","20","0","17","0","0","0","1","0","0","0","0","198","82","0","0","0","1","0","0","0","0","0","0","7","7"
"NE","1","2","0","1","0","0","0","15","0","0","0","13","0","0","1","0","0","0","0","0","276","74","0","0","0","0","0","1","0","0","0","0","8","8"
"NO","1","6","3","1","0","0","0","32","0","7","0","17","0","0","0","1","0","0","0","0","377","26","0","0","0","0","0","0","1","0","0","0","15","15"
"NYG","1","3","0","0","0","0","0","101","0","25","0","25","0","0","0","0","1","0","0","0","236","127","0","0","0","0","0","1","0","0","0","0","3","3"
"NYJ","1","0","0","0","0","0","0","52","0","1","0","27","0","0","0","0","1","0","0","0","283","215","0","0","0","0","0","0","0","1","0","0","0","0"
"OAK","1","1","0","2","0","0","0","44","0","-3","0","34","0","0","0","0","0","1","0","0","178","242","0","0","0","0","0","0","1","0","0","0","4","4"
"PHI","1","2","0","1","0","0","0","51","0","4","0","22","0","0","0","0","1","0","0","0","297","126","0","0","0","0","0","0","1","0","0","0","4","4"
"PIT","1","2","0","0","0","0","0","0","0","6","0","24","0","0","0","0","1","0","0","0","197","124","0","0","0","0","1","0","0","0","0","0","2","2"
"LAC","1","2","0","1","0","0","0","87","0","28","0","10","0","0","1","0","0","0","0","0","105","62","0","0","1","0","0","0","0","0","0","0","8","8"
"SF","1","1","0","0","0","0","0","44","0","6","0","27","0","0","0","0","1","0","0","0","312","108","0","0","0","0","0","0","1","0","0","0","1","1"
"SEA","1","0","0","1","0","0","0","0","0","0","0","27","0","0","0","0","1","0","0","0","256","220","0","0","0","0","0","0","0","1","0","0","2","2"
"TB","1","4","0","2","0","0","0","0","0","6","0","9","0","0","1","0","0","0","0","0","221","148","0","0","0","0","0","1","0","0","0","0","12","12"
"TEN","1","4","0","0","0","0","0","56","0","19","0","34","0","0","0","0","0","1","0","0","210","281","0","0","0","0","0","0","0","1","0","0","3","3"
"WAS","1","4","0","0","0","0","0","44","0","40","0","31","0","0","0","0","0","1","0","0","289","146","0","0","0","0","0","0","1","0","0","0","3","3"
