"team","games","sacks","fumbleRecoveries","interceptions","defenseTouchdowns","safeties","blockedKicks","kickYards","kickTouchdowns","puntYards","puntTouchdowns","paPerGame","pa0Games","pa16Games","pa713Games","pa1420Games","pa2127Games","pa2834Games","pa3545Games","pa46plusGames","passYdsPerGame","runYdsPerGame","yaNegGames","ya099Games","ya100199Games","ya200299Games","ya300349Games","ya350399Games","ya400449Games","ya450499Games","ya500549Games","ya550plusGames","fantasyPts","fantasyPpg"
"ARZ","1","2","0","1","0","0","0","49","0","0","0","34","0","0","0","0","0","1","0","0","354","90","0","0","0","0","0","0","1","0","0","0","3","3"
"ATL","1","2","0","1","0","0","0","50","0","3","0","24","0","0","0","0","1","0","0","0","335","121","0","0","0","0","0","0","0","1","0","0","4","4"
"BLT","1","0","0","0","0","0","0","32","0","-2","0","34","0","0","0","0","0","1","0","0","265","108","0","0","0","0","0","1","0","0","0","0","-1","-1"
"BUF","1","2","0","0","0","0","0","48","0","6","0","31","0","0","0","0","0","1","0","0","256","109","0","0","0","0","0","1","0","0","0","0","1","1"
"CAR","1","0","0","1","0","0","0","26","0","9","0","31","0","0","0","0","0","1","0","0","272","170","0","0","0","0","0","0","1","0","0","0","1","1"
"CHI","1","6","1","1","1","0","0","15","0","58","0","17","0","0","0","1","0","0","0","0","226","74","0","0","0","0","1","0","0","0","0","0","17","17"
"CIN","1","4","1","2","0","0","0","56","0","24","0","23","0","0","0","0","1","0","0","0","376","66","0","0","0","0","0","0","1","0","0","0","10","10"
"CLV","1","3","2","0","0","0","0","82","0","0","0","21","0","0","0","0","1","0","0","0","243","62","0","0","0","0","1","0","0","0","0","0","7","7"
"DAL","1","6","1","0","0","0","0","0","0","0","0","13","0","0","1","0","0","0","0","0","279","35","0","0","0","0","1","0","0","0","0","0","12","12"
"DEN","1","1","0","0","0","0","1","0","0","1","0","19","0","0","0","1","0","0","0","0","288","92","0","0","0","0","0","1","0","0","0","0","3","3"
"DET","1","6","0","0","0","0","0","144","0","11","0","30","0","0","0","0","0","1","0","0","206","190","0","0","0","0","0","1","0","0","0","0","5","5"
"GB","1","2","0","1","1","0","1","8","0","0","0","29","0","0","0","0","0","1","0","0","425","68","0","0","0","0","0","0","0","1","0","0","16","16"
"HST","1","1","0","0","0","0","0","0","0","25","0","20","0","0","0","1","0","0","0","0","191","100","0","0","0","1","0","0","0","0","0","0","2","2"
"IND","1","3","1","0","0","0","0","19","0","0","0","9","0","0","1","0","0","0","0","0","292","65","0","0","0","0","0","1","0","0","0","0","9","9"
"JAX","1","2","1","0","0","0","0","36","0","21","0","20","0","0","0","1","0","0","0","0","234","82","0","0","0","0","1","0","0","0","0","0","5","5"
"KC","1","1","0","0","0","0","0","0","0","48","0","37","0","0","0","0","0","0","1","0","452","33","0","0","0","0","0","0","0","1","0","0","-3","-3"
"MIA","1","3","1","2","0","0","0","34","0","48","0","12","0","0","1","0","0","0","0","0","334","42","0","0","0","0","0","1","0","0","0","0","13","13"
"MIN","1","4","0","0","0","0","0","74","0","13","0","29","0","0","0","0","0","1","0","0","281","98","0","0","0","0","0","1","0","0","0","0","3","3"
"NE","1","0","1","1","0","0","0","47","0","0","0","31","0","0","0","0","0","1","0","0","376","104","0","0","0","0","0","0","0","1","0","0","3","3"
"NO","1","3","0","1","0","0","0","47","0","0","0","18","0","0","0","1","0","0","0","0","246","93","0","0","0","0","1","0","0","0","0","0","6","6"
"NYG","1","0","0","0","0","0","0","56","0","14","0","20","0","0","0","1","0","0","0","0","160","138","0","0","0","1","0","0","0","0","0","0","1","1"
"NYJ","1","5","2","0","0","0","0","0","0","4","0","20","0","0","0","1","0","0","0","0","168","135","0","0","0","0","1","0","0","0","0","0","10","10"
"OAK","1","1","0","1","0","0","0","0","0","7","0","20","0","0","0","1","0","0","0","0","222","168","0","0","0","0","0","1","0","0","0","0","4","4"
"PHI","1","2","1","1","0","0","0","0","0","13","0","27","0","0","0","0","1","0","0","0","402","43","0","0","0","0","0","0","1","0","0","0","6","6"
"PIT","1","1","1","0","0","1","0","67","0","6","0","42","0","0","0","0","0","0","1","0","326","127","0","0","0","0","0","0","0","1","0","0","1","1"
"LA","1","1","0","1","0","0","0","22","0","133","0","0","1","0","0","0","0","0","0","0","90","54","0","0","1","0","0","0","0","0","0","0","13","13"
"LAC","1","5","0","2","0","0","0","25","0","17","0","20","0","0","0","1","0","0","0","0","245","84","0","0","0","0","1","0","0","0","0","0","10","10"
"SF","1","2","1","0","0","0","0","174","0","14","0","27","0","0","0","0","1","0","0","0","347","98","0","0","0","0","0","0","1","0","0","0","4","4"
"SEA","1","2","0","2","0","0","0","0","0","14","0","24","0","0","0","0","1","0","0","0","200","86","0","0","0","1","0","0","0","0","0","0","6","6"
"TB","1","3","2","0","0","0","0","13","0","29","0","21","0","0","0","0","1","0","0","0","334","91","0","0","0","0","0","0","1","0","0","0","7","7"
"TEN","1","4","0","1","0","0","0","0","0","2","0","17","0","0","0","1","0","0","0","0","310","148","0","0","0","0","0","0","0","1","0","0","7","7"
"WAS","1","1","0","2","0","0","0","16","0","6","0","21","0","0","0","0","1","0","0","0","179","104","0","0","0","1","0","0","0","0","0","0","5","5"
