"team","games","sacks","fumbleRecoveries","interceptions","defenseTouchdowns","safeties","blockedKicks","kickYards","kickTouchdowns","puntYards","puntTouchdowns","paPerGame","pa0Games","pa16Games","pa713Games","pa1420Games","pa2127Games","pa2834Games","pa3545Games","pa46plusGames","passYdsPerGame","runYdsPerGame","yaNegGames","ya099Games","ya100199Games","ya200299Games","ya300349Games","ya350399Games","ya400449Games","ya450499Games","ya500549Games","ya550plusGames","fantasyPts","fantasyPpg"
"ARZ","1","1","0","0","0","0","0","0","0","14","0","17","0","0","0","1","0","0","0","0","233","98","0","0","0","0","1","0","0","0","0","0","2","2"
"ATL","1","2","1","0","1","0","0","0","0","18","0","26","0","0","0","0","1","0","0","0","167","207","0","0","0","0","0","1","0","0","0","0","10","10"
"BLT","1","3","1","0","1","0","0","36","0","4","0","16","0","0","0","1","0","0","0","0","131","34","0","0","1","0","0","0","0","0","0","0","12","12"
"BUF","1","3","0","1","0","0","0","31","0","0","0","21","0","0","0","0","1","0","0","0","137","60","0","0","1","0","0","0","0","0","0","0","5","5"
"CAR","1","4","1","0","0","0","0","35","0","6","0","24","0","0","0","0","1","0","0","0","249","95","0","0","0","0","1","0","0","0","0","0","6","6"
"CHI","1","3","0","1","0","0","0","24","0","16","0","30","0","0","0","0","0","1","0","0","219","141","0","0","0","0","0","1","0","0","0","0","4","4"
"CIN","1","2","1","0","0","0","0","29","0","4","0","24","0","0","0","0","1","0","0","0","151","218","0","0","0","0","0","1","0","0","0","0","4","4"
"CLV","1","4","0","0","0","0","0","107","0","0","0","29","0","0","0","0","0","1","0","0","224","187","0","0","0","0","0","0","1","0","0","0","3","3"
"DAL","1","2","0","1","0","0","0","0","0","8","0","10","0","0","1","0","0","0","0","0","127","65","0","0","1","0","0","0","0","0","0","0","8","8"
"DEN","1","4","2","1","0","0","0","0","0","6","0","10","0","0","1","0","0","0","0","0","236","111","0","0","0","0","1","0","0","0","0","0","14","14"
"DET","1","2","1","1","0","0","0","0","0","0","0","30","0","0","0","0","0","1","0","0","207","149","0","0","0","0","0","1","0","0","0","0","5","5"
"GB","1","2","0","0","0","0","0","72","0","25","0","20","0","0","0","1","0","0","0","0","149","182","0","0","0","0","1","0","0","0","0","0","3","3"
"HST","1","0","1","3","1","0","0","23","0","0","0","13","0","0","1","0","0","0","0","0","397","31","0","0","0","0","0","0","1","0","0","0","18","18"
"IND","1","3","1","0","0","0","0","0","0","13","0","6","0","1","0","0","0","0","0","0","150","79","0","0","0","1","0","0","0","0","0","0","12","12"
"JAX","1","3","1","1","0","0","0","0","0","8","0","0","1","0","0","0","0","0","0","0","248","41","0","0","0","1","0","0","0","0","0","0","17","17"
"KC","1","3","3","0","0","0","0","80","0","0","0","33","0","0","0","0","0","1","0","0","285","171","0","0","0","0","0","0","0","1","0","0","8","8"
"MIA","1","2","1","2","0","0","0","0","0","6","0","17","0","0","0","1","0","0","0","0","231","198","0","0","0","0","0","0","1","0","0","0","9","9"
"MIN","1","0","0","1","0","0","0","61","0","4","0","24","0","0","0","0","1","0","0","0","311","160","0","0","0","0","0","0","0","1","0","0","2","2"
"NE","1","2","0","2","0","0","0","52","0","29","0","10","0","0","1","0","0","0","0","0","201","95","0","0","0","1","0","0","0","0","0","0","10","10"
"NO","1","7","2","0","0","0","0","47","0","17","0","13","0","0","1","0","0","0","0","0","249","99","0","0","0","0","1","0","0","0","0","0","15","15"
"NYG","1","5","1","2","1","0","0","56","0","36","0","27","0","0","0","0","1","0","0","0","286","118","0","0","0","0","0","0","1","0","0","0","17","17"
"NYJ","1","3","0","1","1","0","2","82","0","4","0","26","0","0","0","0","1","0","0","0","282","130","0","0","0","0","0","0","1","0","0","0","13","13"
"OAK","1","0","1","0","0","0","1","66","0","0","0","40","0","0","0","0","0","0","1","0","295","174","0","0","0","0","0","0","0","1","0","0","-1","-1"
"PHI","1","3","0","1","0","0","0","22","0","19","0","13","0","0","1","0","0","0","0","0","150","104","0","0","0","1","0","0","0","0","0","0","9","9"
"PIT","1","2","0","0","0","0","0","47","0","9","0","33","0","0","0","0","0","1","0","0","299","85","0","0","0","0","0","1","0","0","0","0","1","1"
"LA","1","4","1","1","0","0","0","52","0","18","0","16","0","0","0","1","0","0","0","0","245","102","0","0","0","0","1","0","0","0","0","0","9","9"
"LAC","1","1","0","1","0","0","0","21","0","73","1","30","0","0","0","0","0","1","0","0","281","65","0","0","0","0","1","0","0","0","0","0","8","8"
"SF","1","3","0","0","0","0","0","109","0","13","0","43","0","0","0","0","0","0","1","0","185","168","0","0","0","0","0","1","0","0","0","0","-1","-1"
"SEA","1","3","2","1","1","0","0","111","0","-4","0","16","0","0","0","1","0","0","0","0","414","66","0","0","0","0","0","0","0","1","0","0","16","16"
"TB","1","4","0","4","0","0","0","0","0","0","0","17","0","0","0","1","0","0","0","0","300","168","0","0","0","0","0","0","0","1","0","0","13","13"
"TEN","1","2","0","1","0","0","0","35","0","0","0","22","0","0","0","0","1","0","0","0","128","156","0","0","0","1","0","0","0","0","0","0","4","4"
"WAS","1","0","0","1","0","0","0","0","0","1","0","28","0","0","0","0","0","1","0","0","306","130","0","0","0","0","0","0","1","0","0","0","1","1"
