"team","games","sacks","fumbleRecoveries","interceptions","defenseTouchdowns","safeties","blockedKicks","kickYards","kickTouchdowns","puntYards","puntTouchdowns","paPerGame","pa0Games","pa16Games","pa713Games","pa1420Games","pa2127Games","pa2834Games","pa3545Games","pa46plusGames","passYdsPerGame","runYdsPerGame","yaNegGames","ya099Games","ya100199Games","ya200299Games","ya300349Games","ya350399Games","ya400449Games","ya450499Games","ya500549Games","ya550plusGames","fantasyPts","fantasyPpg"
"ARZ","1","2","1","0","0","0","0","0","0","1","0","31","0","0","0","0","0","1","0","0","216","269","0","0","0","0","0","0","0","1","0","0","3","3"
"ATL","1","2","1","3","0","0","0","10","0","9","0","10","0","0","1","0","0","0","0","0","312","141","0","0","0","0","0","0","0","1","0","0","14","14"
"BLT","1","4","1","2","1","0","0","55","0","17","0","10","0","0","1","0","0","0","0","0","181","51","0","0","0","1","0","0","0","0","0","0","20","20"
"BUF","1","1","1","2","0","0","0","72","0","12","0","24","0","0","0","0","1","0","0","0","126","273","0","0","0","0","0","1","0","0","0","0","7","7"
"CAR","1","1","2","0","0","0","0","109","0","16","0","24","0","0","0","0","1","0","0","0","239","194","0","0","0","0","0","0","1","0","0","0","5","5"
"CHI","1","1","0","1","0","0","0","52","0","0","0","9","0","0","1","0","0","0","0","0","241","47","0","0","0","1","0","0","0","0","0","0","7","7"
"CIN","1","0","0","0","0","0","1","77","0","2","0","26","0","0","0","0","1","0","0","0","347","146","0","0","0","0","0","0","0","1","0","0","1","1"
"CLV","1","3","0","0","0","0","0","42","0","12","0","18","0","0","0","1","0","0","0","0","133","102","0","0","0","1","0","0","0","0","0","0","4","4"
"DAL","1","3","2","0","1","0","0","20","0","13","0","20","0","0","0","1","0","0","0","0","336","63","0","0","0","0","0","1","0","0","0","0","14","14"
"DEN","1","1","0","0","0","0","0","116","0","0","0","27","0","0","0","0","1","0","0","0","167","114","0","0","0","1","0","0","0","0","0","0","1","1"
"DET","1","2","0","0","0","0","0","49","0","18","0","27","0","0","0","0","1","0","0","0","253","100","0","0","0","0","0","1","0","0","0","0","2","2"
"GB","1","2","0","0","0","0","0","76","0","0","0","38","0","0","0","0","0","0","1","0","341","47","0","0","0","0","0","1","0","0","0","0","-2","-2"
"HST","1","1","2","1","0","0","0","122","0","8","0","32","0","0","0","0","0","1","0","0","471","57","0","0","0","0","0","0","0","0","1","0","6","6"
"IND","1","0","0","1","0","0","0","24","0","3","0","27","0","0","0","0","1","0","0","0","309","83","0","0","0","0","0","1","0","0","0","0","2","2"
"JAX","1","3","1","1","1","0","0","0","0","46","0","7","0","0","1","0","0","0","0","0","146","62","0","0","0","1","0","0","0","0","0","0","17","17"
"KC","1","3","0","0","0","0","0","114","0","0","0","38","0","0","0","0","0","0","1","0","271","210","0","0","0","0","0","0","0","1","0","0","-1","-1"
"MIA","1","6","1","0","0","0","0","56","0","12","0","17","0","0","0","1","0","0","0","0","145","126","0","0","0","1","0","0","0","0","0","0","9","9"
"MIN","1","3","0","0","0","0","0","52","0","8","0","9","0","0","1","0","0","0","0","0","161","86","0","0","0","1","0","0","0","0","0","0","7","7"
"NE","1","0","1","2","0","0","0","41","0","37","0","12","0","0","1","0","0","0","0","0","217","72","0","0","0","1","0","0","0","0","0","0","10","10"
"NO","1","3","2","0","0","0","0","0","0","0","0","28","0","0","0","0","0","1","0","0","380","65","0","0","0","0","0","0","1","0","0","0","6","6"
"NYG","1","1","0","1","0","0","0","16","0","0","0","28","0","0","0","0","0","1","0","0","357","49","0","0","0","0","0","0","1","0","0","0","2","2"
"NYJ","1","4","1","0","0","0","0","236","1","12","0","44","0","0","0","0","0","0","1","0","442","127","0","0","0","0","0","0","0","0","0","1","8","8"
"OAK","1","1","0","2","0","0","0","46","0","106","1","14","0","0","0","1","0","0","0","0","202","100","0","0","0","0","1","0","0","0","0","0","12","12"
"PHI","1","4","1","0","0","0","0","96","0","11","0","30","0","0","0","0","0","1","0","0","339","62","0","0","0","0","0","0","1","0","0","0","5","5"
"PIT","1","2","0","1","0","0","1","20","0","0","0","31","0","0","0","0","0","1","0","0","326","57","0","0","0","0","0","1","0","0","0","0","4","4"
"LA","1","4","0","0","0","0","0","0","0","26","0","9","0","0","1","0","0","0","0","0","182","104","0","0","0","1","0","0","0","0","0","0","8","8"
"LAC","1","3","2","0","0","0","0","45","0","33","0","22","0","0","0","0","1","0","0","0","204","159","0","0","0","0","0","1","0","0","0","0","7","7"
"SF","1","3","2","0","0","0","0","47","0","0","0","14","0","0","0","1","0","0","0","0","246","90","0","0","0","0","1","0","0","0","0","0","8","8"
"SEA","1","1","2","0","0","0","0","32","0","13","0","31","0","0","0","0","0","1","0","0","273","154","0","0","0","0","0","0","1","0","0","0","4","4"
"TB","1","1","0","0","0","0","0","69","0","0","0","27","0","0","0","0","1","0","0","0","161","80","0","0","0","1","0","0","0","0","0","0","1","1"
"TEN","1","2","0","2","1","0","0","31","0","16","0","16","0","0","0","1","0","0","0","0","153","161","0","0","0","0","1","0","0","0","0","0","13","13"
"WAS","1","3","0","0","0","0","0","28","0","0","0","19","0","0","0","1","0","0","0","0","211","99","0","0","0","0","1","0","0","0","0","0","4","4"
