"team","games","sacks","fumbleRecoveries","interceptions","defenseTouchdowns","safeties","blockedKicks","kickYards","kickTouchdowns","puntYards","puntTouchdowns","paPerGame","pa0Games","pa16Games","pa713Games","pa1420Games","pa2127Games","pa2834Games","pa3545Games","pa46plusGames","passYdsPerGame","runYdsPerGame","yaNegGames","ya099Games","ya100199Games","ya200299Games","ya300349Games","ya350399Games","ya400449Games","ya450499Games","ya500549Games","ya550plusGames","fantasyPts","fantasyPpg"
"ARZ","1","4","1","1","1","0","0","60","0","17","0","27","0","0","0","0","1","0","0","0","233","195","0","0","0","0","0","0","1","0","0","0","14","14"
"ATL","1","2","0","2","0","0","0","19","0","14","0","29","0","0","0","0","0","1","0","0","395","121","0","0","0","0","0","0","0","0","1","0","5","5"
"BLT","1","11","0","0","0","0","0","20","0","50","0","0","1","0","0","0","0","0","0","0","117","55","0","0","1","0","0","0","0","0","0","0","21","21"
"BUF","1","7","1","2","0","0","0","43","0","8","0","20","0","0","0","1","0","0","0","0","177","74","0","0","0","1","0","0","0","0","0","0","14","14"
"CAR","1","3","0","0","0","0","0","37","0","1","0","23","0","0","0","0","1","0","0","0","163","132","0","0","0","1","0","0","0","0","0","0","3","3"
"CHI","1","0","1","2","0","0","0","16","0","5","0","31","0","0","0","0","0","1","0","0","380","161","0","0","0","0","0","0","0","0","1","0","5","5"
"CIN","1","0","0","0","0","0","0","122","0","6","0","28","0","0","0","0","0","1","0","0","369","112","0","0","0","0","0","0","0","1","0","0","-1","-1"
"CLV","1","1","0","1","0","0","0","120","0","51","0","38","0","0","0","0","0","0","1","0","215","246","0","0","0","0","0","0","0","1","0","0","-1","-1"
"DAL","1","3","1","1","0","0","0","0","0","9","0","7","0","0","1","0","0","0","0","0","149","65","0","0","0","1","0","0","0","0","0","0","11","11"
"DEN","1","5","0","1","0","0","0","48","0","0","0","23","0","0","0","0","1","0","0","0","201","270","0","0","0","0","0","0","0","1","0","0","7","7"
"GB","1","2","2","1","0","0","0","41","0","6","0","30","0","0","0","0","0","1","0","0","245","174","0","0","0","0","0","0","1","0","0","0","7","7"
"HST","1","2","1","2","1","0","1","0","0","7","0","13","0","0","1","0","0","0","0","0","145","100","0","0","0","1","0","0","0","0","0","0","19","19"
"IND","1","0","1","1","0","0","0","50","0","0","0","42","0","0","0","0","0","0","1","0","280","107","0","0","0","0","0","1","0","0","0","0","0","0"
"JAX","1","3","0","0","0","0","0","31","0","-2","0","40","0","0","0","0","0","0","1","0","183","206","0","0","0","0","0","1","0","0","0","0","-1","-1"
"KC","1","2","1","0","0","0","0","190","0","0","0","43","0","0","0","0","0","0","1","0","340","173","0","0","0","0","0","0","0","0","1","0","0","0"
"MIA","1","2","2","1","0","0","0","0","0","0","0","28","0","0","0","0","0","1","0","0","316","164","0","0","0","0","0","0","0","1","0","0","7","7"
"MIN","1","4","1","1","0","0","0","17","0","26","0","17","0","0","0","1","0","0","0","0","240","60","0","0","0","0","1","0","0","0","0","0","9","9"
"NE","1","0","0","2","0","0","0","30","0","0","0","40","0","0","0","0","0","0","1","0","352","94","0","0","0","0","0","0","1","0","0","0","0","0"
"NYG","1","1","0","0","0","0","0","58","0","0","0","34","0","0","0","0","0","1","0","0","278","108","0","0","0","0","0","1","0","0","0","0","0","0"
"NYJ","1","0","1","3","1","0","0","69","0","6","0","34","0","0","0","0","0","1","0","0","301","127","0","0","0","0","0","0","1","0","0","0","13","13"
"OAK","1","1","0","1","0","0","0","0","0","0","0","27","0","0","0","0","1","0","0","0","222","155","0","0","0","0","0","1","0","0","0","0","3","3"
"PHI","1","4","0","1","0","0","0","34","0","47","0","13","0","0","1","0","0","0","0","0","281","147","0","0","0","0","0","0","1","0","0","0","10","10"
"PIT","1","3","0","0","0","0","0","48","0","22","0","21","0","0","0","0","1","0","0","0","229","62","0","0","0","1","0","0","0","0","0","0","3","3"
"LA","1","2","0","1","0","0","0","31","0","29","0","20","0","0","0","1","0","0","0","0","322","60","0","0","0","0","0","1","0","0","0","0","5","5"
"LAC","1","5","0","2","0","0","0","47","0","36","0","14","0","0","0","1","0","0","0","0","238","103","0","0","0","0","1","0","0","0","0","0","10","10"
"SF","1","3","0","0","0","0","0","138","0","0","0","33","0","0","0","0","0","1","0","0","425","116","0","0","0","0","0","0","0","0","1","0","2","2"
"SEA","1","6","2","0","0","0","0","23","0","0","0","3","0","1","0","0","0","0","0","0","142","79","0","0","0","1","0","0","0","0","0","0","17","17"
"TB","1","1","0","0","0","0","0","40","0","15","0","34","0","0","0","0","0","1","0","0","355","70","0","0","0","0","0","0","1","0","0","0","0","0"
"TEN","1","0","0","1","0","0","0","20","0","0","0","21","0","0","0","0","1","0","0","0","238","123","0","0","0","0","0","1","0","0","0","0","2","2"
"WAS","1","1","2","1","0","0","0","24","0","10","0","17","0","0","0","1","0","0","0","0","275","81","0","0","0","0","0","1","0","0","0","0","8","8"
