"team","games","sacks","fumbleRecoveries","interceptions","defenseTouchdowns","safeties","blockedKicks","kickYards","kickTouchdowns","puntYards","puntTouchdowns","paPerGame","pa0Games","pa16Games","pa713Games","pa1420Games","pa2127Games","pa2834Games","pa3545Games","pa46plusGames","passYdsPerGame","runYdsPerGame","yaNegGames","ya099Games","ya100199Games","ya200299Games","ya300349Games","ya350399Games","ya400449Games","ya450499Games","ya500549Games","ya550plusGames","fantasyPts","fantasyPpg"
"ARZ","1","4","3","2","1","0","0","0","0","0","0","18","0","0","0","1","0","0","0","0","349","147","0","0","0","0","0","0","0","1","0","0","21","21"
"ATL","1","0","0","1","0","0","0","44","0","3","0","41","0","0","0","0","0","0","1","0","250","131","0","0","0","0","0","1","0","0","0","0","-2","-2"
"BLT","1","5","0","1","0","0","0","0","0","59","0","12","0","0","1","0","0","0","0","0","342","112","0","0","0","0","0","0","0","1","0","0","11","11"
"BUF","1","2","2","1","0","0","0","27","0","8","0","12","0","0","1","0","0","0","0","0","129","100","0","0","0","1","0","0","0","0","0","0","12","12"
"CAR","1","1","1","2","0","0","0","0","0","-3","0","31","0","0","0","0","0","1","0","0","383","50","0","0","0","0","0","0","1","0","0","0","6","6"
"CIN","1","3","1","2","2","0","0","0","0","19","0","17","0","0","0","1","0","0","0","0","185","128","0","0","0","0","1","0","0","0","0","0","22","22"
"CLV","1","2","1","1","0","0","1","0","0","23","0","9","0","0","1","0","0","0","0","0","298","116","0","0","0","0","0","0","1","0","0","0","11","11"
"DAL","1","1","1","1","0","0","0","0","0","22","0","19","0","0","0","1","0","0","0","0","375","88","0","0","0","0","0","0","0","1","0","0","6","6"
"DEN","1","1","1","1","0","0","0","27","0","1","0","34","0","0","0","0","0","1","0","0","198","323","0","0","0","0","0","0","0","0","1","0","4","4"
"DET","1","4","3","0","0","0","0","30","0","0","0","23","0","0","0","0","1","0","0","0","442","98","0","0","0","0","0","0","0","0","1","0","10","10"
"GB","1","3","0","0","0","0","0","29","0","2","0","31","0","0","0","0","0","1","0","0","183","94","0","0","0","1","0","0","0","0","0","0","2","2"
"HST","1","2","0","2","0","0","0","0","0","29","0","16","0","0","0","1","0","0","0","0","208","98","0","0","0","0","1","0","0","0","0","0","7","7"
"IND","1","0","0","2","0","0","0","15","0","38","0","38","0","0","0","0","0","0","1","0","341","97","0","0","0","0","0","0","1","0","0","0","0","0"
"JAX","1","1","0","2","0","0","0","30","0","6","0","30","0","0","0","0","0","1","0","0","313","126","0","0","0","0","0","0","1","0","0","0","4","4"
"KC","1","5","1","4","1","0","0","11","0","2","0","14","0","0","0","1","0","0","0","0","430","101","0","0","0","0","0","0","0","0","1","0","22","22"
"MIA","1","2","0","1","0","0","1","89","0","85","1","27","0","0","0","0","1","0","0","0","248","103","0","0","0","0","0","1","0","0","0","0","11","11"
"MIN","1","3","2","0","1","0","0","0","0","22","0","21","0","0","0","0","1","0","0","0","311","81","0","0","0","0","0","1","0","0","0","0","13","13"
"NE","1","1","1","2","0","0","0","26","0","20","0","24","0","0","0","0","1","0","0","0","365","84","0","0","0","0","0","0","1","0","0","0","7","7"
"NO","1","3","1","1","0","0","0","43","0","0","0","19","0","0","0","1","0","0","0","0","275","39","0","0","0","0","1","0","0","0","0","0","8","8"
"NYG","1","1","0","2","0","0","0","103","0","15","0","33","0","0","0","0","0","1","0","0","237","118","0","0","0","0","0","1","0","0","0","0","4","4"
"NYJ","1","4","0","1","0","0","0","30","0","71","0","16","0","0","0","1","0","0","0","0","377","92","0","0","0","0","0","0","0","1","0","0","7","7"
"OAK","1","1","0","0","0","0","0","44","0","2","0","26","0","0","0","0","1","0","0","0","339","79","0","0","0","0","0","0","1","0","0","0","1","1"
"PHI","1","1","1","0","0","0","0","86","0","0","0","23","0","0","0","0","1","0","0","0","301","77","0","0","0","0","0","1","0","0","0","0","3","3"
"PIT","1","6","1","0","1","0","1","23","0","0","0","17","0","0","0","1","0","0","0","0","305","62","0","0","0","0","0","1","0","0","0","0","16","16"
"LA","1","2","0","0","0","0","0","128","0","11","0","31","0","0","0","0","0","1","0","0","198","190","0","0","0","0","0","1","0","0","0","0","1","1"
"LAC","1","3","1","1","0","0","0","51","0","35","0","10","0","0","1","0","0","0","0","0","268","41","0","0","0","0","1","0","0","0","0","0","11","11"
"SF","1","1","0","0","0","0","0","61","0","3","0","28","0","0","0","0","0","1","0","0","170","56","0","0","0","1","0","0","0","0","0","0","0","0"
"SEA","1","2","0","2","0","0","0","95","0","-3","0","33","0","0","0","0","0","1","0","0","321","155","0","0","0","0","0","0","0","1","0","0","5","5"
"TEN","1","1","0","1","0","0","0","33","0","39","0","13","0","0","1","0","0","0","0","0","82","144","0","0","0","1","0","0","0","0","0","0","7","7"
"WAS","1","2","1","0","0","0","0","45","0","0","0","43","0","0","0","0","0","0","1","0","363","98","0","0","0","0","0","0","0","1","0","0","0","0"
