"team","games","sacks","fumbleRecoveries","interceptions","defenseTouchdowns","safeties","blockedKicks","kickYards","kickTouchdowns","puntYards","puntTouchdowns","paPerGame","pa0Games","pa16Games","pa713Games","pa1420Games","pa2127Games","pa2834Games","pa3545Games","pa46plusGames","passYdsPerGame","runYdsPerGame","yaNegGames","ya099Games","ya100199Games","ya200299Games","ya300349Games","ya350399Games","ya400449Games","ya450499Games","ya500549Games","ya550plusGames","fantasyPts","fantasyPpg"
"ARZ","1","3","1","1","0","0","0","0","0","7","0","16","0","0","0","1","0","0","0","0","220","122","0","0","0","0","1","0","0","0","0","0","8","8"
"ATL","1","1","0","0","0","0","0","74","0","12","0","43","0","0","0","0","0","0","1","0","396","143","0","0","0","0","0","0","0","0","1","0","-3","-3"
"BLT","1","3","0","1","0","0","0","78","0","12","0","14","0","0","0","1","0","0","0","0","192","120","0","0","0","0","1","0","0","0","0","0","6","6"
"BUF","1","4","2","1","0","0","0","0","0","13","0","6","0","1","0","0","0","0","0","0","296","14","0","0","0","0","1","0","0","0","0","0","17","17"
"CAR","1","2","0","4","0","0","0","0","0","4","0","21","0","0","0","0","1","0","0","0","352","66","0","0","0","0","0","0","1","0","0","0","10","10"
"CHI","1","4","1","3","0","0","0","0","0","24","0","14","0","0","0","1","0","0","0","0","193","53","0","0","0","1","0","0","0","0","0","0","13","13"
"CIN","1","1","0","0","0","0","0","0","0","9","0","31","0","0","0","0","0","1","0","0","150","230","0","0","0","0","0","1","0","0","0","0","0","0"
"CLV","1","2","1","2","0","0","0","19","0","20","0","17","0","0","0","1","0","0","0","0","169","107","0","0","0","1","0","0","0","0","0","0","9","9"
"DAL","1","2","0","0","0","0","0","81","0","20","0","24","0","0","0","0","1","0","0","0","192","113","0","0","0","0","1","0","0","0","0","0","2","2"
"DEN","1","2","0","0","0","0","2","41","0","31","0","27","0","0","0","0","1","0","0","0","277","77","0","0","0","0","0","1","0","0","0","0","4","4"
"DET","1","2","0","1","0","0","0","0","0","28","0","10","0","0","1","0","0","0","0","0","133","89","0","0","0","1","0","0","0","0","0","0","8","8"
"GB","1","0","0","1","0","0","0","25","0","29","0","31","0","0","0","0","0","1","0","0","220","166","0","0","0","0","0","1","0","0","0","0","1","1"
"HST","1","4","0","0","0","0","0","41","0","45","0","27","0","0","0","0","1","0","0","0","297","114","0","0","0","0","0","0","1","0","0","0","4","4"
"IND","1","5","1","1","0","0","0","35","0","2","0","20","0","0","0","1","0","0","0","0","255","152","0","0","0","0","0","0","1","0","0","0","10","10"
"JAX","1","3","0","0","0","0","0","25","0","11","0","9","0","0","1","0","0","0","0","0","108","150","0","0","0","1","0","0","0","0","0","0","7","7"
"KC","1","4","0","0","0","0","0","25","0","5","0","27","0","0","0","0","1","0","0","0","251","178","0","0","0","0","0","0","1","0","0","0","4","4"
"MIA","1","3","0","2","0","0","0","105","0","0","0","20","0","0","0","1","0","0","0","0","345","109","0","0","0","0","0","0","0","1","0","0","8","8"
"MIN","1","3","0","0","0","0","0","82","0","0","0","27","0","0","0","0","1","0","0","0","196","128","0","0","0","0","1","0","0","0","0","0","3","3"
"NE","1","1","0","1","0","0","0","131","0","0","0","26","0","0","0","0","1","0","0","0","262","159","0","0","0","0","0","0","1","0","0","0","3","3"
"NO","1","3","0","0","0","0","1","64","0","16","0","37","0","0","0","0","0","0","1","0","374","48","0","0","0","0","0","0","1","0","0","0","0","0"
"NYG","1","3","1","1","0","0","0","45","0","6","0","22","0","0","0","0","1","0","0","0","385","59","0","0","0","0","0","0","1","0","0","0","7","7"
"NYJ","1","4","0","0","0","0","0","22","0","12","0","21","0","0","0","0","1","0","0","0","220","133","0","0","0","0","0","1","0","0","0","0","4","4"
"OAK","1","1","0","0","0","0","0","39","0","11","0","28","0","0","0","0","0","1","0","0","341","41","0","0","0","0","0","1","0","0","0","0","0","0"
"PHI","1","2","0","0","0","0","0","33","0","4","0","16","0","0","0","1","0","0","0","0","164","68","0","0","0","1","0","0","0","0","0","0","3","3"
"PIT","1","3","1","3","1","0","0","21","0","16","0","27","0","0","0","0","1","0","0","0","411","63","0","0","0","0","0","0","0","1","0","0","17","17"
"LA","1","2","2","0","1","0","1","75","0","8","0","23","0","0","0","0","1","0","0","0","226","141","0","0","0","0","0","1","0","0","0","0","19","19"
"LAC","1","1","1","1","0","0","0","33","0","11","0","35","0","0","0","0","0","0","1","0","354","171","0","0","0","0","0","0","0","0","1","0","1","1"
"SF","1","2","0","0","0","0","0","23","0","1","0","38","0","0","0","0","0","0","1","0","314","77","0","0","0","0","0","1","0","0","0","0","-2","-2"
"SEA","1","5","1","2","0","0","0","66","0","25","0","13","0","0","1","0","0","0","0","0","168","166","0","0","0","0","1","0","0","0","0","0","15","15"
"TB","1","3","0","1","0","0","0","68","0","0","0","30","0","0","0","0","0","1","0","0","353","78","0","0","0","0","0","0","1","0","0","0","4","4"
"TEN","1","3","1","0","0","0","0","0","0","26","0","6","0","1","0","0","0","0","0","0","155","87","0","0","0","1","0","0","0","0","0","0","12","12"
"WAS","1","4","1","0","0","0","0","33","0","9","0","17","0","0","0","1","0","0","0","0","265","100","0","0","0","0","0","1","0","0","0","0","7","7"
