"team","games","sacks","fumbleRecoveries","interceptions","defenseTouchdowns","safeties","blockedKicks","kickYards","kickTouchdowns","puntYards","puntTouchdowns","paPerGame","pa0Games","pa16Games","pa713Games","pa1420Games","pa2127Games","pa2834Games","pa3545Games","pa46plusGames","passYdsPerGame","runYdsPerGame","yaNegGames","ya099Games","ya100199Games","ya200299Games","ya300349Games","ya350399Games","ya400449Games","ya450499Games","ya500549Games","ya550plusGames","fantasyPts","fantasyPpg"
"ATL","1","3","0","1","0","0","0","0","0","4","0","14","0","0","0","1","0","0","0","0","306","79","0","0","0","0","0","1","0","0","0","0","6","6"
"BLT","1","1","0","0","0","0","0","31","0","27","0","23","0","0","0","0","1","0","0","0","292","113","0","0","0","0","0","0","1","0","0","0","1","1"
"BUF","1","1","0","1","0","0","0","0","0","13","0","41","0","0","0","0","0","0","1","0","135","64","0","0","1","0","0","0","0","0","0","0","-1","-1"
"CAR","1","3","0","2","0","0","0","0","0","12","0","28","0","0","0","0","0","1","0","0","243","82","0","0","0","0","1","0","0","0","0","0","6","6"
"CHI","1","4","1","3","2","0","0","0","0","48","0","9","0","0","1","0","0","0","0","0","188","98","0","0","0","1","0","0","0","0","0","0","28","28"
"CLV","1","2","0","1","0","0","0","16","0","1","0","37","0","0","0","0","0","0","1","0","375","139","0","0","0","0","0","0","0","0","1","0","0","0"
"DAL","1","4","2","0","0","0","0","23","0","7","0","28","0","0","0","0","0","1","0","0","240","125","0","0","0","0","0","1","0","0","0","0","7","7"
"DEN","1","2","0","0","0","0","0","0","0","16","0","19","0","0","0","1","0","0","0","0","213","98","0","0","0","0","1","0","0","0","0","0","3","3"
"DET","1","1","1","1","0","0","0","58","0","0","0","24","0","0","0","0","1","0","0","0","164","120","0","0","0","1","0","0","0","0","0","0","5","5"
"GB","1","2","0","0","0","0","0","43","0","0","0","31","0","0","0","0","0","1","0","0","331","123","0","0","0","0","0","0","0","1","0","0","1","1"
"HST","1","2","1","0","0","0","0","0","0","16","0","17","0","0","0","1","0","0","0","0","290","75","0","0","0","0","0","1","0","0","0","0","5","5"
"KC","1","2","0","1","0","0","1","53","0","0","0","21","0","0","0","0","1","0","0","0","308","102","0","0","0","0","0","0","1","0","0","0","5","5"
"MIA","1","4","0","4","1","0","0","24","0","37","0","6","0","1","0","0","0","0","0","0","229","80","0","0","0","0","1","0","0","0","0","0","25","25"
"MIN","1","10","1","0","1","0","0","15","0","24","0","9","0","0","1","0","0","0","0","0","199","66","0","0","0","1","0","0","0","0","0","0","22","22"
"NE","1","1","1","0","0","0","0","64","0","0","0","17","0","0","0","1","0","0","0","0","259","117","0","0","0","0","0","1","0","0","0","0","4","4"
"NO","1","0","0","1","0","0","0","49","0","0","0","35","0","0","0","0","0","0","1","0","391","92","0","0","0","0","0","0","0","1","0","0","-2","-2"
"NYJ","1","4","0","0","0","0","0","0","0","17","0","13","0","0","1","0","0","0","0","0","139","64","0","0","0","1","0","0","0","0","0","0","8","8"
"OAK","1","0","0","0","0","0","0","51","0","0","0","34","0","0","0","0","0","1","0","0","262","143","0","0","0","0","0","0","1","0","0","0","-1","-1"
"PIT","1","2","0","0","0","0","0","31","0","17","0","16","0","0","0","1","0","0","0","0","218","61","0","0","0","1","0","0","0","0","0","0","3","3"
"LA","1","0","1","0","0","0","0","88","0","0","0","45","0","0","0","0","0","0","1","0","346","141","0","0","0","0","0","0","0","1","0","0","-2","-2"
"LAC","1","4","0","1","1","0","0","20","0","17","0","17","0","0","0","1","0","0","0","0","235","154","0","0","0","0","0","1","0","0","0","0","13","13"
"SF","1","8","0","0","0","0","0","0","0","6","0","3","0","1","0","0","0","0","0","0","179","102","0","0","0","1","0","0","0","0","0","0","15","15"
"SEA","1","2","0","0","0","0","0","69","0","4","0","25","0","0","0","0","1","0","0","0","228","160","0","0","0","0","0","1","0","0","0","0","2","2"
"TB","1","2","0","0","0","0","0","25","0","15","0","42","0","0","0","0","0","0","1","0","247","179","0","0","0","0","0","0","1","0","0","0","-2","-2"
"TEN","1","5","1","1","0","0","0","23","0","11","0","14","0","0","0","1","0","0","0","0","243","72","0","0","0","0","1","0","0","0","0","0","10","10"
"WAS","1","2","0","1","0","0","0","95","0","0","0","38","0","0","0","0","0","0","1","0","350","154","0","0","0","0","0","0","0","0","1","0","0","0"
