"team","games","sacks","fumbleRecoveries","interceptions","defenseTouchdowns","safeties","blockedKicks","kickYards","kickTouchdowns","puntYards","puntTouchdowns","paPerGame","pa0Games","pa16Games","pa713Games","pa1420Games","pa2127Games","pa2834Games","pa3545Games","pa46plusGames","passYdsPerGame","runYdsPerGame","yaNegGames","ya099Games","ya100199Games","ya200299Games","ya300349Games","ya350399Games","ya400449Games","ya450499Games","ya500549Games","ya550plusGames","fantasyPts","fantasyPpg"
"ARZ","1","1","1","0","0","0","0","17","0","26","0","17","0","0","0","1","0","0","0","0","101","122","0","0","0","1","0","0","0","0","0","0","4","4"
"ATL","1","4","0","0","0","0","0","109","0","14","0","34","0","0","0","0","0","1","0","0","196","138","0","0","0","0","1","0","0","0","0","0","3","3"
"BLT","1","3","0","1","0","0","0","30","0","55","0","27","0","0","0","0","1","0","0","0","377","94","0","0","0","0","0","0","0","1","0","0","5","5"
"BUF","1","0","1","1","0","0","0","101","0","4","0","27","0","0","0","0","1","0","0","0","170","78","0","0","0","1","0","0","0","0","0","0","4","4"
"CAR","1","1","2","0","0","0","0","50","0","6","0","26","0","0","0","0","1","0","0","0","238","116","0","0","0","0","0","1","0","0","0","0","5","5"
"CHI","1","3","0","4","0","1","0","20","0","22","0","6","0","1","0","0","0","0","0","0","187","52","0","0","0","1","0","0","0","0","0","0","20","20"
"CIN","1","2","0","0","0","0","0","121","0","23","0","26","0","0","0","0","1","0","0","0","220","85","0","0","0","0","1","0","0","0","0","0","2","2"
"CLV","1","1","0","1","0","0","0","2","0","19","0","20","0","0","0","1","0","0","0","0","298","96","0","0","0","0","0","1","0","0","0","0","4","4"
"DAL","1","2","1","0","0","0","0","27","0","14","0","23","0","0","0","0","1","0","0","0","228","34","0","0","0","1","0","0","0","0","0","0","4","4"
"DEN","1","3","0","1","0","0","0","66","0","20","0","20","0","0","0","1","0","0","0","0","332","84","0","0","0","0","0","0","1","0","0","0","6","6"
"DET","1","3","0","1","1","0","0","0","0","8","0","3","0","1","0","0","0","0","0","0","240","61","0","0","0","0","1","0","0","0","0","0","18","18"
"GB","1","2","1","1","1","0","0","26","0","0","0","20","0","0","0","1","0","0","0","0","262","107","0","0","0","0","0","1","0","0","0","0","13","13"
"HST","1","2","0","1","0","0","0","0","0","18","0","24","0","0","0","0","1","0","0","0","399","50","0","0","0","0","0","0","1","0","0","0","4","4"
"IND","1","5","0","0","0","0","0","10","0","47","0","21","0","0","0","0","1","0","0","0","267","89","0","0","0","0","0","1","0","0","0","0","5","5"
"JAX","1","1","0","1","0","0","0","50","0","0","0","30","0","0","0","0","0","1","0","0","162","264","0","0","0","0","0","0","1","0","0","0","2","2"
"KC","1","2","1","0","0","0","0","0","0","13","0","24","0","0","0","0","1","0","0","0","147","194","0","0","0","0","1","0","0","0","0","0","4","4"
"MIA","1","2","0","0","0","0","0","38","0","16","0","33","0","0","0","0","0","1","0","0","358","77","0","0","0","0","0","0","1","0","0","0","1","1"
"MIN","1","2","0","1","0","0","0","64","0","0","0","21","0","0","0","0","1","0","0","0","72","214","0","0","0","1","0","0","0","0","0","0","4","4"
"NE","1","5","0","0","0","0","1","30","0","7","0","34","0","0","0","0","0","1","0","0","265","189","0","0","0","0","0","0","0","1","0","0","5","5"
"NO","1","4","0","1","0","0","1","76","0","29","0","14","0","0","0","1","0","0","0","0","213","105","0","0","0","0","1","0","0","0","0","0","8","8"
"NYG","1","5","0","3","1","0","0","0","0","51","0","16","0","0","0","1","0","0","0","0","233","84","0","0","0","0","1","0","0","0","0","0","18","18"
"NYJ","1","3","1","2","0","0","1","186","0","0","0","23","0","0","0","0","1","0","0","0","206","176","0","0","0","0","0","1","0","0","0","0","10","10"
"OAK","1","1","0","1","0","0","0","34","0","0","0","21","0","0","0","0","1","0","0","0","306","40","0","0","0","0","1","0","0","0","0","0","3","3"
"PHI","1","3","1","2","0","0","0","36","0","9","0","29","0","0","0","0","0","1","0","0","455","142","0","0","0","0","0","0","0","0","0","1","8","8"
"PIT","1","4","1","0","0","0","0","41","0","28","0","24","0","0","0","0","1","0","0","0","322","55","0","0","0","0","0","1","0","0","0","0","6","6"
"LA","1","1","0","3","0","0","0","59","0","0","0","15","0","0","0","1","0","0","0","0","110","194","0","0","0","0","1","0","0","0","0","0","8","8"
"LAC","1","3","0","0","0","0","0","83","0","0","0","21","0","0","0","0","1","0","0","0","170","147","0","0","0","0","1","0","0","0","0","0","3","3"
"SF","1","2","0","0","0","0","0","46","0","26","0","14","0","0","0","1","0","0","0","0","186","103","0","0","0","1","0","0","0","0","0","0","3","3"
"SEA","1","2","1","0","1","0","1","0","0","17","0","7","0","0","1","0","0","0","0","0","208","77","0","0","0","1","0","0","0","0","0","0","15","15"
"TB","1","1","1","1","0","0","0","44","0","10","0","28","0","0","0","0","0","1","0","0","201","100","0","0","0","0","1","0","0","0","0","0","4","4"
"TEN","1","4","1","0","0","0","0","29","0","12","0","9","0","0","1","0","0","0","0","0","240","60","0","0","0","0","1","0","0","0","0","0","10","10"
"WAS","1","2","0","1","0","0","0","58","0","-2","0","40","0","0","0","0","0","0","1","0","197","227","0","0","0","0","0","0","1","0","0","0","0","0"
