"team","games","sacks","fumbleRecoveries","interceptions","defenseTouchdowns","safeties","blockedKicks","kickYards","kickTouchdowns","puntYards","puntTouchdowns","paPerGame","pa0Games","pa16Games","pa713Games","pa1420Games","pa2127Games","pa2834Games","pa3545Games","pa46plusGames","passYdsPerGame","runYdsPerGame","yaNegGames","ya099Games","ya100199Games","ya200299Games","ya300349Games","ya350399Games","ya400449Games","ya450499Games","ya500549Games","ya550plusGames","fantasyPts","fantasyPpg"
"ARZ","1","2","0","0","0","0","0","55","0","0","0","20","0","0","0","1","0","0","0","0","172","171","0","0","0","0","1","0","0","0","0","0","3","3"
"ATL","1","3","0","1","0","0","1","95","0","0","0","37","0","0","0","0","0","0","1","0","337","99","0","0","0","0","0","0","1","0","0","0","2","2"
"BLT","1","1","1","1","0","0","0","57","0","4","0","14","0","0","0","1","0","0","0","0","274","19","0","0","0","1","0","0","0","0","0","0","6","6"
"BUF","1","2","1","1","0","0","0","37","0","-1","0","22","0","0","0","0","1","0","0","0","298","141","0","0","0","0","0","0","1","0","0","0","6","6"
"CHI","1","4","0","3","0","0","0","28","0","14","0","10","0","0","1","0","0","0","0","0","271","60","0","0","0","0","1","0","0","0","0","0","14","14"
"CIN","1","3","0","0","0","0","0","82","0","13","0","36","0","0","0","0","0","0","1","0","419","92","0","0","0","0","0","0","0","0","1","0","-1","-1"
"CLV","1","3","0","2","0","0","0","88","0","10","0","45","0","0","0","0","0","0","1","0","437","139","0","0","0","0","0","0","0","0","0","1","3","3"
"DAL","1","3","0","0","0","0","0","17","0","0","0","24","0","0","0","0","1","0","0","0","307","96","0","0","0","0","0","0","1","0","0","0","3","3"
"DEN","1","1","0","0","0","0","0","40","0","2","0","27","0","0","0","0","1","0","0","0","304","142","0","0","0","0","0","0","1","0","0","0","1","1"
"DET","1","2","0","0","0","0","0","23","0","0","0","26","0","0","0","0","1","0","0","0","255","183","0","0","0","0","0","0","1","0","0","0","2","2"
"GB","1","7","1","2","0","0","0","0","0","20","0","0","1","0","0","0","0","0","0","0","151","58","0","0","0","1","0","0","0","0","0","0","23","23"
"HST","1","4","2","0","1","0","0","69","0","20","0","34","0","0","0","0","0","1","0","0","464","41","0","0","0","0","0","0","0","0","1","0","13","13"
"IND","1","6","0","1","0","0","0","32","0","19","0","37","0","0","0","0","0","0","1","0","375","118","0","0","0","0","0","0","0","1","0","0","4","4"
"JAX","1","3","0","0","0","1","0","21","0","11","0","12","0","0","1","0","0","0","0","0","167","34","0","0","0","1","0","0","0","0","0","0","9","9"
"KC","1","4","0","1","0","0","0","0","0","37","0","23","0","0","0","0","1","0","0","0","245","159","0","0","0","0","0","0","1","0","0","0","6","6"
"MIA","1","0","0","2","0","0","0","41","0","23","0","38","0","0","0","0","0","0","1","0","274","175","0","0","0","0","0","0","1","0","0","0","0","0"
"MIN","1","1","0","0","0","0","0","0","0","0","0","38","0","0","0","0","0","0","1","0","465","100","0","0","0","0","0","0","0","0","0","1","-3","-3"
"NE","1","2","1","1","0","0","0","0","0","45","0","7","0","0","1","0","0","0","0","0","135","56","0","0","1","0","0","0","0","0","0","0","10","10"
"NO","1","3","2","0","0","0","0","17","0","15","0","18","0","0","0","1","0","0","0","0","255","65","0","0","0","0","1","0","0","0","0","0","8","8"
"NYG","1","1","0","0","0","0","0","60","0","0","0","33","0","0","0","0","0","1","0","0","227","170","0","0","0","0","0","1","0","0","0","0","0","0"
"NYJ","1","2","2","1","0","0","0","40","0","7","0","31","0","0","0","0","0","1","0","0","388","126","0","0","0","0","0","0","0","0","1","0","7","7"
"OAK","1","2","2","2","1","0","0","0","0","98","0","42","0","0","0","0","0","0","1","0","295","208","0","0","0","0","0","0","0","0","1","0","12","12"
"PHI","1","3","0","1","0","0","0","0","0","42","0","26","0","0","0","0","1","0","0","0","344","70","0","0","0","0","0","0","1","0","0","0","5","5"
"PIT","1","2","1","0","0","0","0","80","0","3","0","26","0","0","0","0","1","0","0","0","363","96","0","0","0","0","0","0","0","1","0","0","4","4"
"LA","1","4","1","0","0","0","0","53","0","4","0","31","0","0","0","0","0","1","0","0","422","54","0","0","0","0","0","0","0","1","0","0","5","5"
"LAC","1","1","0","2","0","0","0","0","0","82","0","27","0","0","0","0","1","0","0","0","298","76","0","0","0","0","0","1","0","0","0","0","5","5"
"SF","1","1","0","1","1","0","0","91","0","5","0","29","0","0","0","0","0","1","0","0","250","126","0","0","0","0","0","1","0","0","0","0","8","8"
"SEA","1","1","1","0","0","0","0","65","0","39","0","17","0","0","0","1","0","0","0","0","180","92","0","0","0","1","0","0","0","0","0","0","4","4"
"TB","1","1","0","0","0","0","0","21","0","2","0","48","0","0","0","0","0","0","0","1","354","139","0","0","0","0","0","0","0","1","0","0","-3","-3"
"TEN","1","4","1","0","0","0","0","0","0","8","0","23","0","0","0","0","1","0","0","0","348","117","0","0","0","0","0","0","0","1","0","0","6","6"
